@id,@type,name,name:ar,name:he,amenity,shop,office,healthcare,tourism,leisure,craft,opening_hours,phone,contact:phone,website,addr:street,addr:housenumber,@lat,@lon
419977653,way,Ibn Khaldun Circle,دوار ابن خلدون,כיכר אבן ח׳לדון,,,,,,,garden,,,,,,,,31.3999219,34.7558842
419979061,way,Police Station,محطة الشرطة,תחנת משטרה,police,,,,,,,,,,,,,31.4031570,34.7553683
419979064,way,Fire Station,محطة الاطفاء,תחנת כיבוי אש,fire_station,,,,,,,,,,,,,31.4028123,34.7553312
419980067,way,Tipat Halav,قطرة حليب,טיפת חלב,childcare,,,,,,,,,,,,,31.3937722,34.7692560
419980070,way,Rahat Pais Center,مركز بايس رهط,מרכז פיס רהט,,,,,,,pitch,,,,,,,,31.3934897,34.7429659
420041295,way,Sports Field,ملعب,מגרש ספורט,,,,,,,pitch,,,,,,,,31.3891260,34.7652463
420051220,way,Clalit Rahat Clinic,مستشفى كلاليت رهط,מרפאת כללית רהט,clinic,,,,,,,,,,,,,31.3969814,34.7574396
420261693,way,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.4000079,34.7630578
420261697,way,Police Parking,مصف الشرطة,חניון המשטרה,parking,,,,,,,,,,,,,31.4034745,34.7551644
420268708,way,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3927642,34.7691119
420313723,way,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3990916,34.7621445
420313727,way,School Field,ملعب مدرسة,מגרש בית ספר,,,,,,,pitch,,,,,,,,31.3990663,34.7628502
420627332,way,Al-Taqwa Mosque,مسجد التقوى,מסגד אלתקווא,place_of_worship,,,,,,,,,,,شارع السلام,,31.3914801,34.7478197
420639926,way,Sports Field,ملعب,מגרש ספורט,,,,,,,pitch,,,,,,,,31.3840671,34.7356592
420650672,way,Al-Noor Circle,دوار النور,כיכר אל נור,,,,,,garden,,,,,,,,31.3936883,34.7595878
420650673,way,Basketball Court,ملعب كرة سلة,מגרש כדורסל,,,,,,,pitch,,,,,,,,31.3893237,34.7517756
420650675,way,School Field,ملعب مدرسة,מגרש בית ספר,,,,,,,pitch,,,,,,,,31.3935630,34.7487919
420651294,way,Al-Ikhaa Circle,دوار الاخاء,כיכר אל אח׳א,,,,,,,garden,,,,,,,,31.3926986,34.7676786
421544480,way,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3935601,34.7692016
421547657,way,Al-Baz Square,ساحة الباز,כיכר אלבאז,,,,,,,garden,,,,,,,,31.3828027,34.7715923
421547658,way,Ibn Rushd Square,ساحة ابن رشد,כיכר אבן רושד,,,,,,,garden,,,,,,,,31.3802860,34.7811620
421927131,way,School Field,الملعب المدرسة,מגרש בית ספר,,,,,,,pitch,,,,,,,,31.3875644,34.7579571
444728659,way,Mosque,مسجد,מסגד,place_of_worship,,,,,,,,,,,,,31.3970584,34.7701783
499426747,way,Dar Al-Qalam School,مدرسة دار القلم,בית ספר דאר אלקלם,school,,,,,,,,,,,,,31.3918135,34.7682542
525256306,way,SodaStream,صودا ستريم,סודה סטרים,,,company,,,,,,,,,,,31.3823370,34.7876826
553622481,way,Basketball Court,ملعب كرة السلة,מגרש כדורסל,,,,,,,pitch,,,,,,,,31.3981036,34.7594866
567018288,way,Al-Rahma Mosque,مسجد الرحمة,מסגד אלרחמה,place_of_worship,,,,,,,,,,,شارع صلاح الدين,,31.3874613,34.7594155
582181178,way,Al-Salam Mosque,مسجد السلام,מסגד אלסלאם,place_of_worship,,,,,,,,,,,,,31.3880117,34.7402596
582480376,way,Bilal Ibn Rabah Mosque,مسجد بلال بن رباح,מסגד בלאל בן רבאח,place_of_worship,,,,,,,,,,,,,31.3970140,34.7640501
582502712,way,Al-Ansar Mosque,مسجد الأنصار,מסגד אלאנסאר,place_of_worship,,,,,,,,,,,,,31.3908834,34.7643721
