name_ar,name_he,name,category_id,place_type,opening_hours,lat,lon,skip_reason
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.399122,34.762141,invalid_type
حلويات الروزنةً,ממתקי אלרוזנה,Al-Rozana Sweets,5,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.394145,34.752403,
دكان تيسير,חנות תיסיר,Taysir Shop,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.395404,34.753863,
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.393573,34.769128,invalid_type
بنك ماركنتيل ديسكاونت,בנק מרכנתיל דיסקונט,Mercantile Discount Bank,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.395296,34.757271,duplicate_nearby
ملحمة ابو حسن,אטליז אבו חסן,Abu Hassan Butcher,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.393494,34.772069,duplicate_nearby
زقنة,זקנה,Zaqna Supermarket,3,BUSINESS,"Sunday: 12:00 AM - 11:59 PM, Monday: 12:00 AM - 11:59 PM, Tuesday: 12:00 AM - 11:59 PM, Wednesday: 12:00 AM - 11:59 PM, Thursday: 12:00 AM - 11:59 PM, Friday: 12:00 AM - 11:59 PM, Saturday: 12:00 AM - 11:59 PM",31.392746,34.767571,
مدرسة بين الحكمة,בית ספר בית אל חכמה,Beit Al-Hikma School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.393658,34.765977,
شوبينغ سنتر,שופינג סנטר,Shopping Center,3,BUSINESS,"Sunday: 5:30 AM - 11:30 PM, Monday: 5:30 AM - 11:30 PM, Tuesday: 5:30 AM - 11:30 PM, Wednesday: 5:30 AM - 11:30 PM, Thursday: 5:30 AM - 11:30 PM, Friday: 5:30 AM - 11:30 PM, Saturday: 5:30 AM - 11:30 PM",31.393736,34.771910,
السوق,השוק,The Market,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.395314,34.760215,
مسجد الراشدين,מסגד אל ראשדין,Al-Rashideen Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.399417,34.747261,
السلام,מרפאת אלסלאם,Al-Salam Clinic,15,PUBLIC_SERVICE,"Sunday: 8:00 AM - 4:00 PM, Monday: 8:00 AM - 4:00 PM, Tuesday: 8:00 AM - 4:00 PM, Wednesday: 8:00 AM - 4:00 PM, Thursday: 8:00 AM - 4:00 PM",31.385525,34.740003,
سوبرماركت الاخوة,סופרמרקט האחים,Al-Ikhwa Supermarket,3,BUSINESS,"Sunday: 5:00 AM - 11:00 PM, Monday: 5:00 AM - 11:00 PM, Tuesday: 5:00 AM - 11:00 PM, Wednesday: 5:00 AM - 11:00 PM, Thursday: 5:00 AM - 11:00 PM, Friday: 5:00 AM - 11:00 PM, Saturday: 5:00 AM - 11:00 PM",31.387603,34.744743,
ملعب هبوعل رهط,מגרש הפועל רהט,Hapoel Rahat Field,11,PUBLIC_SERVICE,"Sunday: 6:00 AM - 10:00 PM, Monday: 6:00 AM - 10:00 PM, Tuesday: 6:00 AM - 10:00 PM, Wednesday: 6:00 AM - 10:00 PM, Thursday: 6:00 AM - 10:00 PM, Friday: 6:00 AM - 10:00 PM, Saturday: 6:00 AM - 10:00 PM",31.390130,34.752318,
حديقة عامة مركز البلد,גן ציבורי מרכז העיר,City Center Public Park,10,PUBLIC_SERVICE,"Sunday: 6:00 AM - 10:00 PM, Monday: 6:00 AM - 10:00 PM, Tuesday: 6:00 AM - 10:00 PM, Wednesday: 6:00 AM - 10:00 PM, Thursday: 6:00 AM - 10:00 PM, Friday: 6:00 AM - 10:00 PM, Saturday: 6:00 AM - 10:00 PM",31.396344,34.755218,
سوق بلدي,שוק עירוני,Municipal Market,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.394803,34.759281,
